1.684	1.6623	1.6649	1.584	1.655	1.5409	1.6545	1.6042	1.6127	1.6787
1.4626	1.5212	1.6835	1.4918	1.5834	1.5822	1.5398	1.6667	1.6219	1.451
1.971	1.907	1.855	1.9413	1.852	1.8513	2.0114	1.9853	1.9257	1.9797
1.2021	1.2556	1.303	1.2876	1.3105	1.2746	1.1544	1.2613	1.2633	1.2546
1.0969	1.2299	1.1418	1.2167	1.2706	1.1726	1.2913	1.1438	1.1638	1.3078
2.4705	2.5504	2.5177	2.383	2.4499	2.3543	2.4518	2.5223	2.4098	2.3499
2.0899	2.1484	2.1461	2.0304	1.9221	2.0058	2.1024	2.0489	2.0484	2.0151
2.4494	2.2716	2.2806	2.4396	2.4982	2.3887	2.4332	2.4508	2.4245	2.3335
2.5457	2.5578	2.6643	2.4957	2.5399	2.392	2.5921	2.4845	2.6602	2.5672
2.2888	2.2174	2.1592	2.292	2.2931	2.3	2.1429	2.23	2.3456	2.0601
2.1648	1.856	1.9793	2.0254	1.8941	2.1214	1.8932	2.0792	1.9901	1.8939
1.9101	1.7318	1.6847	1.7921	1.7469	1.7036	1.7717	1.7632	1.691	1.8174
2.453	2.2719	2.3132	2.5082	2.2627	2.2517	2.2389	2.2145	2.3315	2.1024
1.5903	1.6212	1.7275	1.5911	1.7659	1.6256	1.7698	1.4852	1.6615	1.7453
1.1235	1.1296	1.2246	1.2281	1.1268	1.1776	1.0758	1.237	1.2176	1.2665
2.0836	2.0527	2.0805	1.9959	2.1155	2.1147	2.2118	1.9592	2.0434	1.9958
1.855	1.7909	1.6994	1.841	1.7589	1.6647	1.5599	1.7118	1.7262	1.7467
1.576	1.5719	1.4988	1.5561	1.6095	1.5117	1.5864	1.5498	1.5365	1.6725
1.8163	1.6837	1.864	1.7289	1.6414	1.6673	1.6147	1.7046	1.6638	1.7896
2.3555	2.1117	2.2932	2.1892	2.2588	2.2995	2.1085	2.1084	2.1508	2.0572
2.115	2.0409	2.0104	2.0728	2.0502	2.072	2.1725	2.04	2.079	1.9775
1.9654	2.0823	1.9931	2.1167	2.0585	2.039	2.0192	2.0141	1.977	1.9481
2.0563	1.8562	2.0128	2.0553	1.8556	1.9758	2.0343	1.922	2.0351	1.9765
2.3149	2.3167	2.3072	2.1609	2.4272	2.423	2.3968	2.2884	2.2127	2.297
2.4106	2.2612	2.3262	2.4257	2.1848	2.1918	2.2534	2.2496	2.3339	2.2595
0.99691	1.0767	0.99357	1.051	0.91433	0.90048	1.0345	0.99402	1.0355	0.95835
0.97245	0.93257	0.9615	0.97475	1.0461	1.0519	0.99769	1.0065	1.0038	1.0112
1.3681	1.2814	1.4094	1.336	1.3975	1.3775	1.4156	1.423	1.3613	1.3233
1.3694	1.4946	1.4217	1.5449	1.4667	1.3724	1.5098	1.4579	1.3963	1.4798
1.4884	1.4552	1.5676	1.6012	1.5397	1.6327	1.5514	1.5194	1.5511	1.4408
2.059	2.1417	2.0993	2.0918	2.1282	2.2235	2.149	2.0104	1.9946	2.0905
2.4078	2.5128	2.6857	2.4511	2.359	2.4147	2.5368	2.4791	2.5162	2.2485
2.2796	2.2603	2.2581	2.2425	2.3301	2.2062	2.3703	2.1507	2.2807	2.3039
1.7632	1.7531	1.6686	1.7363	1.7214	1.7681	1.8092	1.827	1.8373	1.8322
1.4868	1.4572	1.4993	1.4248	1.5503	1.5298	1.4765	1.4363	1.4099	1.312
2.6071	2.7886	2.8158	2.7871	2.7048	2.9346	2.7933	2.8251	2.7837	2.7695
2.8542	2.6053	2.7516	2.5393	2.604	2.715	2.491	2.7319	2.7181	2.8102
2.725	2.708	2.6491	2.7214	2.8273	2.6971	2.7859	2.7576	2.7418	2.726
2.2874	2.1992	2.2752	2.3586	2.3542	2.297	2.1637	2.1386	2.4592	2.353
2.0162	1.9864	2.0547	2.1566	2.1734	2.1757	2.1077	2.1282	1.9356	2.1481
2.0804	2.0829	2.1147	2.0413	1.9383	1.9827	2.1584	1.9573	2.0053	2.0885
1.7157	1.7422	1.7615	1.7633	1.6921	1.786	1.7944	1.6837	1.7317	1.7066
1.4965	1.685	1.6465	1.6753	1.7344	1.666	1.7919	1.666	1.7281	1.6813
1.6688	1.5915	1.6598	1.6483	1.4946	1.69	1.7285	1.5331	1.5926	1.5706
1.7221	1.7708	1.7888	1.7185	1.882	1.9038	1.873	1.7528	1.6661	2.0237
1.7608	1.7096	1.7834	1.7173	1.8294	1.824	1.7443	1.6689	1.7916	1.8189
1.7547	1.6762	1.8968	1.7597	1.7472	1.8866	1.7862	1.7548	1.7212	1.7828
2.0467	1.8192	2.0496	1.9864	2.1122	1.9198	2.1057	1.9041	2.0101	1.8855
1.5753	1.4198	1.4238	1.4615	1.343	1.3276	1.3786	1.4033	1.4147	1.5651
1.6768	1.783	1.8849	1.6012	1.7903	1.7688	1.7551	1.8085	1.9283	1.8705
