3.2121	3.1228	3.1615	3.4305
2.8131	2.8728	2.8762	2.8809
3.0463	3.0069	3.0603	2.9072
3.2911	3.1706	3.126	3.1192
3.2055	3.1717	3.0894	3.0251
2.8941	2.9192	2.8795	2.8388
2.8666	2.9103	2.9053	2.8936
2.6836	2.8159	2.8087	2.7656
2.9687	2.998	2.9691	2.9779
2.9498	2.9028	3.0038	2.8707
2.8543	2.8934	2.98	2.8385
2.8361	2.7253	2.8529	2.8553
2.6335	2.7135	2.6844	2.9575
3.0519	3.0468	3.0705	3.1507
3.0065	2.9082	3.0634	3.0615
2.9067	2.8543	2.8009	2.8663
2.8387	2.7356	2.8003	2.8503
2.8111	2.8002	2.7646	2.7806
2.845	2.8034	2.8382	2.8802
2.8514	2.7899	2.8909	2.8414
2.9661	3.0266	2.8795	3.0148
2.9483	2.9478	3.0241	2.9301
2.6964	2.841	2.7342	2.8234
2.8216	2.7867	2.6455	2.8886
2.7575	2.8826	2.7315	2.7931
2.6391	2.6254	2.6487	2.7059
2.8916	2.9184	2.8885	2.829
2.8271	2.8502	2.8606	2.8954
2.9382	3.1382	3.0748	2.9629
2.678	2.7849	2.6095	2.6073
2.9429	2.9712	2.9362	2.969
2.8462	2.8195	2.7615	2.8222
2.9414	3.0161	3.0756	3.0752
2.963	2.9857	2.9812	2.9869
2.7387	2.7419	2.7959	2.6607
3.0166	2.898	2.8613	2.906
3.1085	3.1341	3.1251	3.0552
3.0395	3.0544	2.9915	3.197
2.8212	2.8465	2.9385	2.8383
2.7815	2.8035	2.8174	2.8315
2.7731	2.8807	2.7842	2.7726
2.9425	2.8978	2.8479	2.9674
2.8059	2.7879	2.7515	2.7421
2.8421	2.8207	2.9371	2.8567
2.8965	2.8538	2.8928	2.8367
2.9556	2.9187	2.9222	2.9848
2.9995	2.9473	2.8624	2.9284
2.6761	2.7817	2.7049	2.7297
2.8482	2.9042	2.8949	2.9801
2.8695	2.9323	2.8617	2.929
2.7446	2.8359	2.8823	2.858
2.7871	2.8776	2.8512	2.7538
2.9661	3.1348	3.0399	3.0035
2.8042	2.7944	2.7323	2.8617
2.8545	2.8049	2.889	2.7755
2.7443	2.7121	2.6453	2.7604
2.7134	2.6983	2.8037	2.8115
2.7315	2.6307	2.6222	2.662
2.7909	2.7088	2.7478	2.8059
2.8872	2.855	2.8185	2.7687
2.6691	2.647	2.6875	2.6072
2.6158	2.5192	2.6319	2.5453
2.8917	2.7548	2.94	2.751
2.8717	2.788	2.7474	2.8164
2.7885	2.8344	2.8019	2.7033
2.5699	2.5996	2.6248	2.5536
2.7039	2.6351	2.6616	2.637
2.7605	2.8281	2.7594	2.8287
2.6615	2.6635	2.7113	2.68
2.6815	2.6844	2.7151	2.7094
2.7594	2.6905	2.6385	2.7125
2.5546	2.6265	2.6098	2.6
2.7167	2.8673	2.7341	2.763
2.6509	2.5428	2.6401	2.605
2.468	2.437	2.4752	2.4367
2.8297	2.7689	2.7355	2.7366
2.7368	2.744	2.8112	2.8133
2.6518	2.6715	2.648	2.6144
2.6556	2.5819	2.6496	2.5946
3.0268	2.9946	2.9862	2.9757
2.8872	2.7212	2.8189	2.7472
2.852	2.7371	2.8416	2.8631
2.636	2.6465	2.7111	2.7015
2.6733	2.7582	2.6327	2.6614
2.6232	2.5674	2.6221	2.629
2.6425	2.6482	2.5658	2.6876
2.575	2.4678	2.5112	2.381
2.707	2.7335	2.6482	2.6412
2.8237	2.8229	2.7924	2.8552
2.6146	2.851	2.6243	2.6816
2.4712	2.5375	2.3961	2.4969
2.6551	2.6275	2.5845	2.6842
2.507	2.5204	2.4901	2.533
2.6372	2.6424	2.6176	2.5378
2.7935	2.828	2.8517	2.77
2.3786	2.4966	2.4636	2.3684
2.6616	2.8127	2.7037	2.8307
2.5697	2.7654	2.6736	2.6874
2.8112	2.7268	2.6365	2.7519
2.8723	2.725	2.9197	2.9385
2.9867	2.9718	2.9208	2.8166
2.7021	2.7864	2.7865	2.9287
2.8273	2.8452	2.8401	2.7584
2.6966	2.7305	2.5534	2.6468
2.8426	2.8917	2.8219	2.9221
2.9912	2.996	2.9266	2.9219
2.6141	2.547	2.5557	2.5791
2.8249	2.8343	2.7564	2.8155
2.8794	2.7713	2.8617	2.8853
2.7394	2.7176	2.703	2.6628
2.7369	2.7261	2.7415	2.7198
2.9007	2.9325	2.7973	2.7662
2.659	2.5919	2.5542	2.6801
2.8903	2.8556	2.7789	2.7558
2.7971	2.7376	2.7372	2.7686
2.7119	2.7478	2.7682	2.8048
2.8094	2.785	2.8164	2.7719
2.734	2.6736	2.6598	2.7842
2.5348	2.5485	2.4997	2.6043
2.4422	2.4018	2.4239	2.4368
2.6847	2.5633	2.6056	2.5314
2.8187	2.7695	2.6264	2.6732
2.9848	2.9675	2.8587	2.9085
2.5634	2.6366	2.549	2.6654
2.8025	2.7749	2.742	2.7861
2.6775	2.7307	2.6469	2.5607
2.711	2.738	2.6617	2.7992
2.8513	2.9485	2.8362	2.7442
2.6575	2.7868	2.7225	2.707
2.7545	2.7063	2.6666	2.6679
2.6756	2.631	2.7086	2.7739
2.5771	2.4829	2.5935	2.5444
2.6147	2.6894	2.7436	2.7089
2.7034	2.7956	2.6946	2.8135
2.4242	2.4537	2.4026	2.404
2.9074	3.0502	2.8456	2.8649
2.6881	2.8143	2.6619	2.8902
2.7817	2.6919	2.7736	2.7334
2.9435	2.9275	2.762	2.8375
2.6688	2.8173	2.8344	2.8472
2.7266	2.8281	2.7637	2.7108
2.6744	2.6305	2.6205	2.7045
2.7725	2.8227	2.7216	2.7758
2.8547	2.8086	2.8815	2.8561
2.5851	2.59	2.5474	2.6174
2.5748	2.5277	2.5896	2.6129
2.7659	2.7409	2.8044	2.7576
2.8035	2.8121	2.7984	2.8403
2.4889	2.6282	2.6829	2.6799
2.9868	2.9571	3.006	2.8881
1.908	1.6672	1.8813	1.926
2.5522	2.6456	2.6495	2.5867
2.7068	2.5129	2.6602	2.6293
2.3904	2.4885	2.4236	2.4054
2.5682	2.5164	2.7757	2.6659
2.7433	2.8176	2.8407	2.779
2.5636	2.5805	2.6123	2.5354
2.823	2.7334	2.7175	2.6645
2.7737	2.7599	2.7879	2.7387
2.732	2.7994	2.789	2.7414
2.6193	2.6284	2.532	2.5838
2.3006	2.277	2.2935	2.36
2.4901	2.5433	2.6501	2.5584
2.6176	2.5724	2.6742	2.6295
2.6228	2.5419	2.5935	2.6023
2.6992	2.6465	2.6746	2.6809
2.6461	2.6806	2.6746	2.6282
2.7046	2.5756	2.6175	2.6378
2.4716	2.4831	2.5702	2.4386
2.5487	2.4382	2.5081	2.4465
2.6234	2.5721	2.6061	2.4637
