1.7958	1.9552	1.8233	1.8435	1.862	1.7971	1.8293	1.8066	1.8919	1.8501
1.6132	1.548	1.5953	1.5973	1.559	1.5356	1.6344	1.5767	1.6051	1.608
1.8305	1.8433	1.8031	1.7999	1.8022	1.733	1.833	1.7439	1.8255	1.8987
2.0763	2.0234	2.2281	2.2124	2.2047	2.1789	2.2279	2.1298	2.2663	2.2472
1.7581	1.683	1.8056	1.6953	1.7673	1.7137	1.753	1.7376	1.7668	1.7577
1.2889	1.1497	1.2286	1.1898	1.1974	1.2496	1.2822	1.2113	1.2428	1.2589
1.9641	1.9967	1.953	1.9199	1.9166	1.8683	1.9131	1.7851	1.7932	1.9232
1.3416	1.3204	1.4605	1.4266	1.3394	1.4179	1.385	1.3045	1.3726	1.4904
1.4802	1.6311	1.3773	1.4358	1.4499	1.4803	1.4933	1.4859	1.4634	1.488
1.7271	1.6797	1.7612	1.6769	1.6843	1.5978	1.8046	1.6504	1.5973	1.7481
2.0645	2.0819	2.1179	2.0749	2.0682	2.0408	2.0225	2.1283	1.8337	2.0644
2.2074	2.2987	2.3504	2.2438	2.3786	2.2846	2.2982	2.3575	2.1624	2.3547
2.2424	2.2292	2.2126	2.0884	2.1688	2.3452	2.3152	2.3357	2.3507	2.0824
2.2954	2.3882	2.1798	2.279	2.2905	2.3593	2.2384	2.3087	2.2554	2.2078
2.1611	2.0822	2.0752	2.1378	2.0956	1.991	2.0714	2.0728	2.1025	2.0857
2.6717	2.5034	2.704	2.625	2.5744	2.672	2.5804	2.7066	2.7164	2.6271
2.6658	2.901	2.8351	2.4994	2.7754	2.7978	2.7932	2.6468	2.7846	2.7613
3.0934	2.9059	2.9633	3.0222	2.9636	3.1358	2.8575	3.0406	2.9606	3.0644
2.9243	2.6096	2.586	2.5919	2.4317	2.4262	2.7499	2.6867	2.6869	2.5225
2.6585	2.5601	2.7257	2.6933	2.4629	2.5698	2.4144	2.6285	2.619	2.656
2.5457	2.7874	2.686	2.6621	2.7904	2.6588	2.6714	2.8055	2.671	2.4768
2.5127	2.5316	2.5183	2.2991	2.3815	2.5245	2.3036	2.3948	2.3554	2.343
2.667	2.5714	2.7367	2.6693	2.6839	2.6803	2.6786	2.6365	2.8419	2.5968
2.346	2.0582	2.1318	2.1236	2.3133	2.2002	2.1039	2.0799	2.0825	2.1512
2.422	2.4163	2.301	2.3036	2.3653	2.488	2.2323	2.4166	2.269	2.3085
1.6296	1.5967	1.5819	1.5798	1.6574	1.6412	1.659	1.6335	1.6402	1.5761
1.9254	2.0114	1.9307	1.7326	1.953	1.8483	1.9106	1.7999	1.8743	1.91
2.1879	2.0215	2.077	2.2051	2.0481	2.1269	2.011	2.0273	2.0405	2.0612
1.6903	1.6802	1.7356	1.6636	1.6164	1.6277	1.6882	1.6388	1.697	1.6551
1.7955	1.7418	1.8372	1.8506	1.7339	1.7265	1.7652	1.7941	1.7917	1.7333
2.3356	2.3164	2.2502	2.3654	2.2514	2.4344	2.2555	2.3319	2.4459	2.3913
2.1864	2.2343	2.2759	2.1543	2.2586	2.2696	2.051	2.0796	2.1452	2.121
1.9069	1.8781	1.8072	2.1003	2.1081	2.0172	1.9792	1.8986	2.0563	1.974
1.8548	1.9627	2.0775	1.7905	1.7556	1.8084	1.7687	1.7476	1.8034	1.7935
1.9542	2.0952	1.9959	1.8935	1.9783	1.981	1.9453	2.1147	2.0797	2.0913
2.3027	2.4465	2.2499	2.3011	2.1498	2.1437	2.2642	2.3191	2.181	2.24
2.0376	1.9899	2.0288	2.0999	2.0105	2.1181	1.9194	2.1686	2.1497	1.9684
1.6467	1.84	1.8161	1.6309	1.8325	1.6709	1.677	1.5872	1.6916	1.8246
