2.1573	2.3149	2.2215	2.2607	2.0843	2.0464	2.2291	2.03	2.1513	2.1249
2.5466	2.5863	2.5408	2.6008	2.6802	2.4014	2.5859	2.4609	2.4732	2.4008
2.6666	2.5058	2.5764	2.6333	2.3682	2.2935	2.4773	2.3788	2.3581	2.4434
2.2618	2.299	2.1079	2.1097	2.117	1.9648	1.8849	2.1919	2.0494	2.131
1.7614	1.7562	2.0004	2.0624	2.0833	1.8881	2.001	1.6521	1.7296	2.011
2.3791	2.1248	2.245	2.2393	2.2273	2.2503	2.2958	2.1003	2.2369	2.2391
2.1515	1.9745	1.9225	2.2475	2.0465	2.0277	2.0707	1.8982	2.0456	1.9602
2.1247	2.4456	2.3342	2.3144	2.3499	2.431	2.263	2.2766	2.2766	2.3637
1.5582	1.6108	1.5933	1.5077	1.6649	1.5892	1.6403	1.739	1.4692	1.5853
2.1981	2.1888	2.1495	2.1501	2.0936	2.1684	2.1573	2.1997	2.2539	2.2741
2.4797	2.3929	2.498	2.4184	2.3951	2.4866	2.5094	2.4693	2.5877	2.4568
1.9293	2.1036	1.9328	2.0524	1.9999	2.0587	2.117	2.128	1.9462	2.091
1.8977	1.9984	2.0166	2.0394	1.9519	2.1206	2.1654	2.0272	2.0492	2.0722
2.177	1.9604	2.0295	2.0028	1.9625	2.0196	1.9936	1.9726	2.0794	1.9543
1.7956	1.8387	1.9578	1.7999	1.9746	1.7484	1.8692	1.682	1.801	1.7651
2.2989	2.3385	2.1941	2.311	2.1908	2.1428	2.1861	2.3766	2.3009	2.2524
1.9547	1.9625	1.9236	1.9606	1.8581	2.0343	2.1968	2.0358	1.9986	2.0729
2.2166	2.1281	2.111	2.1258	2.1701	2.2727	2.0931	2.1362	2.2091	1.961
2.6638	2.5665	2.492	2.6489	2.5572	2.7198	2.7329	2.7547	2.7486	2.5061
2.5068	2.7002	2.786	2.7035	2.605	2.5495	2.746	2.5339	2.58	2.6918
2.5656	2.6494	2.405	2.4577	2.4926	2.6034	2.5915	2.5629	2.4733	2.5793
