2.4104	2.3174	2.2901	2.2249	2.2154	2.2244	2.3502	2.3533	2.378	2.2734
2.1045	2.1188	2.2716	2.1897	2.1381	2.2651	2.2396	2.1818	2.2222	2.2097
2.3512	2.2926	2.322	2.2947	2.2588	2.3983	2.2866	2.2832	2.3274	2.3603
2.169	2.3269	2.2657	2.1949	2.1709	2.1224	2.2073	2.0553	2.1797	2.2176
2.0676	2.2104	2.1322	2.0842	2.1144	2.2124	2.079	2.1647	2.1928	2.0399
2.0444	2.0098	2.0688	2.0065	2.066	2.0529	2.0763	2.0017	1.9635	2.0849
2.0985	1.9946	2.0145	2.0058	2.0508	2.0507	1.9605	1.9895	2.0012	2.0535
2.2333	2.2419	2.1855	2.1913	2.1408	2.171	2.1478	2.1711	2.2552	2.0634
1.778	1.6748	1.723	1.8379	1.7478	1.7465	1.8328	1.7692	1.7861	1.6743
2.1186	2.1866	2.126	2.1912	2.1257	2.0662	2.2394	2.1879	2.1985	2.1535
1.855	1.9048	1.9416	1.9019	1.9915	1.8995	2.0397	1.9729	1.8795	1.8562
2.4097	2.2898	2.2934	2.255	2.3326	2.1625	2.318	2.244	2.3014	2.2343
1.5076	1.4899	1.4981	1.5427	1.6138	1.5685	1.4623	1.5278	1.4425	1.5155
1.6682	1.8109	1.8016	1.8313	1.785	1.8253	1.7782	1.8723	1.854	1.6876
1.7369	1.8133	1.7323	1.7251	1.8248	1.7354	1.766	1.8545	1.7192	1.728
2.0263	2.0434	2.0189	2.0371	2.0681	1.9907	2.0205	2.0214	2.0389	2.0906
1.9006	1.9714	1.9744	1.8786	1.9008	1.8965	1.8592	1.8747	1.8392	1.8818
1.9763	2.0019	2.0444	2.0068	1.9706	2.0637	1.9639	2.0322	1.9846	1.9077
1.8975	1.8358	1.7666	1.8878	1.8628	1.8413	1.9013	1.8963	1.7754	1.8239
2.133	2.1383	2.0278	2.1271	2.1162	2.1884	2.214	2.1523	2.0808	2.1193
1.7062	1.6365	1.7311	1.8333	1.8038	1.697	1.7993	1.6878	1.6907	1.7667
1.9126	1.9875	1.8528	1.8542	1.9126	1.8832	1.8891	2.0504	1.9751	1.7843
2.1438	2.0935	2.0745	2.1314	2.0564	2.1817	2.0554	2.1098	2.1503	2.1576
2.1122	2.11	2.0782	2.1322	2.1209	2.1287	2.1418	2.1496	2.0909	2.046
1.8742	1.8651	1.9457	1.9316	1.8974	1.9	1.9522	1.9956	1.8635	1.8524
1.8462	1.8751	1.7469	1.7325	1.8506	1.8403	1.7489	1.7756	1.8483	1.8417
1.7156	1.7384	1.7973	1.7832	1.7976	1.6913	1.6463	1.7996	1.7215	1.7784
1.9768	1.9501	2.0253	2.0986	2.0046	1.9855	1.9842	2.0924	1.9111	2.0804
1.7878	1.6466	1.7139	1.7353	1.7805	1.7554	1.7113	1.755	1.6299	1.8251
1.8919	1.9275	1.875	1.8422	1.9583	1.8989	1.8988	1.8356	1.9564	1.9802
2.0004	2.0179	1.9541	1.9401	2.0306	1.9371	2.0201	1.9703	2.0457	1.9498
