2.7005	2.6936	2.5075	2.7178	2.8191	2.5889	2.7483	2.6477	2.6083	2.5646
2.8012	2.7697	2.5652	2.5793	2.5228	2.4908	2.7192	2.5503	2.5972	2.5277
2.5889	2.6668	2.6928	2.6827	2.7966	2.6602	2.6503	2.7178	2.6704	2.6433
2.3905	2.4947	2.5194	2.4715	2.3842	2.4362	2.4131	2.4185	2.4664	2.4524
2.6954	2.7198	2.6376	2.7724	2.6731	2.8151	2.634	2.6735	2.6868	2.7238
2.9357	2.9259	2.9217	2.8463	2.8969	2.8485	2.8468	3.0132	2.967	2.8781
3.0429	2.9967	2.8684	2.8533	2.9453	3.0312	3.0136	2.9718	2.808	3.0494
2.9454	3.048	2.9428	2.961	2.8106	2.9633	3.0342	2.9686	2.9536	2.8976
3.1429	2.9959	2.916	3.1275	3.0254	3.0352	3.1306	3.1532	3.2186	3.08
3.155	2.9547	2.9769	3.0423	3.2636	3.1215	3.1395	3.1574	3.1464	3.1667
2.517	2.2892	2.3996	2.4871	2.3207	2.4543	2.488	2.35	2.577	2.3721
2.8053	2.872	2.7042	2.8392	2.9754	2.7764	2.9199	2.9333	2.8951	2.7486
3.0425	3.3151	3.1739	3.1994	3.0816	3.0689	3.081	3.2209	3.2119	3.2201
2.6535	2.7358	2.7728	2.7068	2.6845	2.7025	2.8336	2.807	2.6775	2.5181
2.6654	2.6777	2.9027	2.7579	2.9119	2.8088	2.9352	2.7838	2.8214	2.7389
2.8115	2.7995	2.6007	2.6024	2.876	2.6034	2.8472	2.5793	2.5878	2.7221
2.5648	2.7225	2.7386	2.4732	2.6535	2.6521	2.6062	2.5992	2.621	2.7174
2.9247	2.899	2.921	2.9489	2.9979	2.8531	2.8484	2.7696	2.923	2.678
2.6859	2.5328	2.6273	2.6114	2.7346	2.5475	2.5388	2.4873	2.6335	2.6591
3.0245	2.8604	2.7858	3.0023	3.0413	2.8471	2.947	2.7948	3.073	2.9787
2.7156	2.6773	2.579	2.4383	2.8703	2.6146	2.6737	2.7922	2.7405	2.6201
2.9072	2.8362	2.8832	2.8315	2.7853	3.0035	2.9364	2.9151	2.7709	2.9219
2.3988	2.6042	2.6194	2.6258	2.3891	2.613	2.3473	2.6429	2.6806	2.6449
2.8495	2.8691	2.9056	2.8862	2.9537	2.693	2.8594	2.851	2.8316	2.8757
3.1731	3.12	3.1641	3.3008	3.0231	3.1069	3.1029	3.0832	3.0247	2.9521
2.5706	2.5457	2.5121	2.4266	2.4892	2.35	2.4376	2.5259	2.4605	2.4907
2.5327	2.3763	2.3766	2.3075	2.4633	2.4717	2.2568	2.4379	2.4457	2.1356
2.4427	2.4764	2.4921	2.6027	2.6739	2.5229	2.6025	2.4266	2.5406	2.5247
2.6773	2.7437	2.69	2.8528	2.7192	2.8866	2.7693	2.791	2.7148	2.8594
2.5867	2.7193	2.6788	2.5614	2.5585	2.657	2.6915	2.5613	2.586	2.6117
2.8969	2.7619	2.8896	3.0467	2.8828	2.9458	3.0313	2.9715	2.8627	3.0509
3.3852	3.3012	3.149	3.2401	3.2623	3.2286	3.2395	3.2539	3.1632	3.2782
2.8743	2.7518	2.8239	2.7386	2.8428	2.7987	2.6538	2.7257	2.8315	2.8044
2.645	2.5492	2.8136	2.6148	2.669	2.6283	2.753	2.6025	2.6101	2.587
2.593	2.6292	2.5263	2.693	2.6861	2.5006	2.5885	2.4808	2.7427	2.7778
2.9528	2.8857	2.8468	2.8531	3.0491	2.831	2.9769	2.8003	2.9212	2.9301
2.8504	2.9649	2.8252	3.0169	2.9375	2.8208	2.97	2.9342	2.8854	2.7576
2.9337	2.9498	3.1743	3.132	3.1033	3.1847	2.9762	3.0849	3.0509	3.151
2.8257	2.6977	2.7605	2.756	2.7058	2.6437	2.7478	2.744	2.8214	2.696
2.8108	3.0565	3.1514	2.9664	2.9894	2.8685	3.0091	2.9589	2.9856	3.1059
2.5047	2.5937	2.7326	2.623	2.7389	2.7822	2.6857	2.7196	2.6355	2.7201
2.909	3.0772	3.0666	2.9605	2.8353	2.7419	3.0623	2.9055	2.9859	2.9285
2.8612	2.8584	2.9145	3.0243	2.9708	2.9751	2.8602	2.8129	2.9176	2.8864
2.6515	2.6901	2.7274	2.7269	2.7687	2.7711	2.8544	2.7838	2.7959	2.8292
2.9182	2.9113	2.9059	2.9788	2.9911	2.9926	2.9187	2.8471	2.9039	2.8743
2.9894	2.9291	3.1073	3.1201	2.8512	3.0338	2.809	3.0299	3.164	2.8521
2.7068	2.4766	2.7383	2.8748	2.6371	2.6208	2.5966	2.6887	2.6519	2.525
2.62	2.8646	2.6178	2.7371	2.5692	2.5968	2.7098	2.782	2.5494	2.7487
2.5199	2.5168	2.314	2.4094	2.413	2.3373	2.425	2.3956	2.6102	2.3581
2.6024	2.5184	2.5027	2.4852	2.4298	2.3735	2.653	2.35	2.472	2.6272
