2.9454	3.1418	2.9774	2.8204	3.1415	2.9171	3.0284	3.1427	3.0278	3.0447
2.5593	2.5795	2.5576	2.5543	2.6407	2.6525	2.6895	2.5622	2.7981	2.6987
2.9272	2.9824	2.8997	2.8331	2.8966	2.9009	2.9249	2.9985	3.0468	2.8853
2.8386	2.7067	2.7727	2.8449	2.7765	2.9088	2.7783	2.586	2.7283	2.6898
2.4095	2.591	2.2687	2.5058	2.5131	2.4373	2.4589	2.5042	2.4142	2.4282
2.3366	2.3414	2.3862	2.4016	2.3541	2.3805	2.3853	2.4088	2.3608	2.3921
2.6129	2.6337	2.6511	2.5611	2.5799	2.5413	2.4777	2.5692	2.5913	2.5043
2.4024	2.3321	2.3099	2.3282	2.407	2.3622	2.3572	2.3108	2.3137	2.3124
2.2634	2.2785	2.2503	2.289	2.3124	2.2455	2.2756	2.3025	2.2835	2.2394
2.1772	2.2149	2.2337	2.1928	2.2111	2.268	2.1486	2.173	2.2458	2.3362
2.2119	2.2028	2.2061	2.126	2.2771	2.1592	2.3321	2.2896	2.1638	2.2952
2.2099	2.1898	2.0422	2.125	2.2315	2.2024	2.1587	2.2802	2.0527	2.1029
2.4206	2.3528	2.5035	2.3824	2.43	2.4206	2.3424	2.3269	2.4508	2.3872
2.3524	2.3502	2.3235	2.443	2.2796	2.3753	2.4643	2.3156	2.3703	2.3212
2.3835	2.2644	2.325	2.3843	2.3693	2.434	2.408	2.4035	2.1986	2.3379
1.9683	1.92	1.9727	1.9838	1.9422	1.9295	1.9531	1.934	1.9835	1.8698
2.0212	2.0223	2.0704	2.0426	2.1013	2.0325	2.0507	1.9876	2.0688	2.1517
2.0845	2.0024	2.0723	2.058	2.0737	2.0511	2.0708	2.0447	2.1251	2.012
2.0006	2.08	2.0726	1.9815	2.0488	2.0816	2.0463	2.0641	2.064	2.0384
1.9598	1.9776	1.9809	1.9786	1.919	1.9711	1.9984	1.9923	1.9741	1.9252
1.9604	1.9558	2.0099	2.0077	1.8952	1.9662	1.89	2.0027	1.8968	2.0361
2.3055	2.2853	2.2135	2.3207	2.2495	2.2235	2.1703	2.2632	2.3205	2.2678
1.8562	1.8244	1.7136	1.6968	1.6862	1.7117	1.7868	1.8003	1.8605	1.7461
1.7072	1.8392	1.7974	1.7963	1.7533	1.7949	1.7907	1.7753	1.8438	1.7096
1.8636	1.9406	1.8635	1.8386	1.8962	1.9096	1.9217	1.9212	1.9102	1.9521
2.2577	2.197	2.2877	2.2698	2.264	2.2743	2.3214	2.335	2.1816	2.2517
2.2847	2.3546	2.3334	2.2248	2.3956	2.3598	2.4804	2.1477	2.323	2.3715
