0.012659	0.33472	0.018324	0.83746	0.1136	1.2305	0.60612	2.3094	-70.581
0.014249	0.28407	0.024779	0.81331	0.1232	0.56689	0.89055	1.605	11.556
0.47964	0.29995	0.01	0.53423	-0.0043132	1.0667	0.65417	3.3332	2.9292
0.016683	0.39358	0.20954	0.82888	-0.39013	0.99513	1.2609	2.4915	10.368
0.024595	0.30662	0.019779	0.78031	0.39228	0.99092	1.3122	2.4807	29.912
0.003	0.25482	0.01	0.95631	0.8	0.69015	1	2.5	20
0.0091921	0.19169	0.029439	0.47078	0.80476	1.0535	1.623	3.8656	-180.06
0.0043325	0.34501	0.039172	0.69129	0.87865	1.1974	1.9122	6.8034	14.31
0.01	0.29027	0.02	0.5	0.8	0.8758	1.8882	5.7343	7.3463
0.0040176	0.30052	0.042305	0.99879	0.68659	0.59313	0.3929	2.8277	14.977
0.0039114	0.19359	0.020002	0.56401	0.79991	0.9999	1.3735	2.9014	18.332
0.019099	0	0.02	0.9813	1.0667	0.8	0.48148	2.9482	15
0.0060354	0.2003	0.02997	1.0007	1.066	0.39259	0.40049	2.4987	4.7168
0.0084875	0.22998	0.020006	0.74192	1.1251	0.97588	1.073	3.502	4.9845
0.0050061	0.27427	0.019985	1.0001	0.80069	0.96562	0.29976	3.332	15.006
0.0049954	0.30034	0.021936	0.9995	1.0932	1.0006	0.30011	2.501	14.995
0.0035648	0.28208	0.02	0.97976	1	1	0.66667	3.3806	19.561
0.0035185	0.20349	0.01963	0.93153	1	0.92998	0.33703	2.4369	15
0.0043333	0.3	0.01	0.99281	1.1785	0.8	0.3	3.3333	15
0.0054811	0.1	0.01	0.98786	0.8	0.86115	0.2782	2.5	-57.075
0.0043829	0.2	0.01	0.5	1.1982	0.97107	0.4	2.5	5.8977
0.005	0.21603	0.022922	0.84112	1	0.97358	0.3	2.5	30
0.001	0.16667	0.01	0.72827	1.1286	1	0.3	2.5	30
0.0070753	0.1	0.01	0.6624	1.3333	1.3333	0.3	2.5	15
0.0050129	0.08583	0.015927	0.71779	1.278	0.84155	0.3221	2.5	-40.722
0.005	0.10938	0.024859	0.73691	0.8	0.84286	0.3	3.5	30
0.0035876	0.15	0.029802	1.1667	0.53333	0.8	0.3	3.5	10
0.0096667	0.33829	0.067973	1.022	1	0.83698	0.3	7.1309	19.727
0.001	0.3	0.02	0.74915	0.64865	0.76674	0.4	5	4.8344
0.005	0.3	0.018694	1	0.8	1	0.3	5	30
0.010336	0.062963	0.01	0.73457	0.83888	0.54672	0.40833	3.625	12.722
0.0039264	0.2	0.021884	0.81812	0.67311	0.85562	0.6	2.5	15
0.0050003	0.19999	0.019999	0.93265	0.79996	0.91323	0.40003	3.5226	15
0.011684	0.31616	0.020016	0.51336	0.77484	1.0358	0.44514	4.6643	13.338
0.0041305	0.25102	0.019383	0.94597	0.80099	0.61645	0.60322	3.2719	18.863
0.55587	0.16556	0.026752	0.50184	1.3328	0.88421	1.3182	27.334	6.246
0.019971	0.2001	0.039891	0.45806	0.99891	0.80099	0.49918	4.0019	14.991
0.013925	0.25021	0.016535	0.49979	0.62553	0.70625	0.59987	2.5008	29.997
0.0016667	0.25	0.02	0.9739	0.8	0.45393	0.66667	2.5	20
