5	0.001	0.2	0.02	1.1535	1	1	0.54958	0.67354	0.3	3.3333	15
4.9196	0.001	0.18889	0.02	2.1808	1	1	0.58533	0.85608	0.3	3.3333	15
7	0.001	0.099999	0.02	1	1	0.75	0.51803	1	0.3	3.6327	20.432
5.8322	0.01	0.09459	0.02107	2.7298	1.0771	0.95833	0.67263	0.81472	0.36411	4.1975	28.761
4.2485	0.0082099	0.090426	0.019444	2	0.75	1	0.66744	1	0.5	3.5	15
2.9746	0.010137	0.31229	0.01	1.0236	0.93119	1.0351	0.69575	0.73999	0.046813	2.6376	14.371
2.8222	0.0077037	0.4	0.024238	0.98615	0.93401	1.0185	0.75025	1	0.3	2.5	15
4.9175	0.009382	0.20278	0.018522	0.99392	0.99392	0.99392	0.79375	0.7071	0.30452	2.4878	14.944
3.1226	0.0042567	0.21383	0.035756	0.96252	1.037	1.1588	0.81191	1	0.26246	2.5	15
4.6178	0.017157	0.34743	0.023704	0.98785	0.98785	0.98785	0.7875	1.0268	0.30903	3.3033	15.111
5.9467	0.001	0.25092	0.021308	0.75	1	0.99251	0.75416	0.8	0.5	3.5	15
3	0.001	0.2	0.024211	1	2	1.0556	0.8	1	0.3	2.5	12.068
5	0.001	0.1	0.04	1	1.0464	1	0.8	1	0.5	2.5	15
9.9999	0.007	0.17748	0.01	1.0556	2	0.97532	0.8	0.86667	0.3	2.5	15
2.8904	0.001	0.20578	0.01	1.5	1.0258	1	0.89627	1	0.3	2.5	15
5.989	0.001	0.125	0.023355	1.2439	1.1094	0.63949	0.6875	1.125	0.38125	3.4445	17.667
4.512	0.001	0.2	0.01983	2	1.4891	1	0.8	1	0.22139	3.8144	20
2.1045	0.011556	0.2	0.023333	1.0657	1	0.81481	0.62563	1.4599	0.18331	5.5555	15
7.2608	0.0047823	0.14715	0.02	1.4611	1.2038	0.625	0.8	0.99999	0.3	2.5	15
1.5595	0.001	0.10499	0.01	1.0922	1.2722	0.42899	0.76697	1.3828	0.39229	3.8195	27.727
5.98	0.001	0.22028	0.022278	1.0085	1.101	0.51017	0.33014	0.71099	0.37767	6.0729	20.363
4.6273	0.0052885	0.27836	0.020721	1.0316	0.96844	0.49653	0.32516	0.96394	0.35938	3.3964	77.298
3.2938	0.010012	0.20027	0.01	1.0006	1.0252	0.99942	0.5026	0.59088	0.29957	3.6517	14.995
5.7873	0.007135	0.30675	0.024383	1.2335	1.2335	0.76648	0.55981	0.73312	0.47347	2.967	17.135
6.0173	0.001	0.27317	0.01	2.1601	0.83994	0.79676	0.16324	0.31571	0.39992	2.4419	7.6711
7	0.0044058	0.1	0.02	2	0.97421	1	0.91221	0.88065	0.3	3.7903	20
7.9212	0.001	0.085684	0.021111	1	0.25	0.95833	0.72354	0.8	0.3	4.5805	20
4.0907	0.0036667	0.079095	0.01	2.1573	0.57914	1.028	1.1111	1.0255	0.20405	3.945	36.667
4.3192	0.0029487	0.053847	0.01	2.2989	0.55486	0.70217	0.82058	1.3419	0.15	5.4038	31.846
3	0.0041111	0.12894	0.01	1.9194	1.0123	1.0414	1.136	1	0.27653	3.3303	17.346
5	0.001	0.1	0.023182	0.99999	1	1	0.8	1	0.5	2.5	20
5	0.001	0.19342	0.04	1.9943	2	1	0.8	0.70955	0.4	3.3333	20
7.1587	0.001	0.23307	0.016667	1.1053	0.96355	1.5223	0.8	0.99999	0.3	2.5	15
3.733	0.001	0.21978	0.01	1	1	1	0.6848	1.0933	0.3	2.5	10
5.2777	0.001	0.29009	0.02	1.3334	0.99998	1.1873	0.76954	0.99998	0.040462	2.5	15
7	0.01	0.2	0.02	1	1	1.1667	0.8	1	0.3	2.5	15
3.4476	0.015225	0.29968	0.014737	1.158	1.0296	1.087	0.56927	0.60684	0.29993	2.4992	14.996
2.3612	0.013123	0.38266	0.01	0.8577	1	0.97335	0.4	0.89737	0.5	2.5	20
5	0.005	0.64268	0.02	0.89127	1	0.9178	0.6144	0.93374	0.6	5	15
5	0.010362	0.29793	0.04	1	1	1	0.8	1	0.4	2.5	15
0.88818	0.0052825	0.16975	0.031482	1.1199	0.98786	0.90139	0.73672	0.90185	0.13796	4.3131	13.282
1.1892	0.001	0.20009	0.015001	1.008	0.92736	0.95643	0.99235	0.98041	0.34351	4.4902	12.475
0.6954	0.00963	0.16919	0.033945	1.3863	0.98152	0.61134	0.78099	0.81849	0.41329	3.555	30.171
0.1	0.004059	0.27755	0.023202	1.1472	0.85991	0.8139	0.9441	1.1601	0.19593	4.7198	21.281
1.8861	0.005	0.2	0.024458	1.0397	1	0.95011	0.8	1	0.4	4.5967	26.667
2.6838	0.004	0.11865	0.01	1.0814	1.031	0.5	0.36225	1.0222	0.26667	4.4444	40
4.8343	0.001	0.12187	0.020259	0.95777	1.0026	0.90432	0.017401	0.89066	0.23993	3.3952	14.125
3	0.001	0.1	0.02	1	1	1	0.68864	1	0.4	2.7703	30
4.7278	0.001	0.2	0.021913	1.5	1	0.36636	0.8	0.91252	0.4	2.5	15
5.3127	0.001	0.18065	0.028313	1.3637	1.1428	0.73264	0.034173	1.749	0.57016	5.7273	23.11
