2.8145	0.0052023	0.021197	0.8381	0.6086	1	0.26481	2.5	15	0.2	0.16667	0.2
3.0866	0.0079112	0.01	1	0.15154	1.1207	0.23786	2.5	15	0.2	0.16667	0.2
7	0.01	0.02	1	0.8	1	0.3	2.5	15	0.2	0.2	0.2
10	0.0072182	0.018493	0.66048	0.4382	1.1545	0.31712	3.0629	13.764	0.26182	0	0.23565
4.9851	0.001	0.01	0.99559	0.60056	0.99496	0.49622	2.5088	14.96	0.26318	0.19798	0.19863
4.2499	0.0099999	0.019685	1	0.70139	0.57807	0.6	2.5	15	0.2	0.1	0.2
5	0.0080061	0.023333	1	0.53333	1	1	3.1713	15	0.2	0.3	0.1
7.7264	0.0080103	0.01	1.4365	0.4	1	0.27749	3.5	15	0.32611	0.2	0.2
10	0.0016923	0.029231	1.4038	0.38462	0.53846	0.6	1.6923	23.692	0.015385	0.051633	0.059095
3	0.01	0.02	0.88021	0.68028	0.69101	0.4	2.5	15	0.2	0.2	0.16667
2.8338	0.005	0.018288	1	0.8	0.84552	0.3	3.3333	15	0.2	0.2	0.2
2.1107	0.001	0.019766	1.1713	0.8	0.93574	0.4	2.5	12.001	0.2	0.25446	0.2
3	0.0052778	0.01	1	0.83196	1.3333	0.4	4.6667	15	0.44317	0.2	0.21579
0.80653	0.005439	0.01	1	0.8	0.8	0.3	2.5	8.7824	0.2	0.2	0.2
3.1746	0.0049527	0.034631	0.90258	0.87469	1.0775	0.58048	4.9871	15.059	0.40443	0	0.20295
3.9533	0.0036277	0.019444	0.97753	0.77499	1.0278	0.47917	2.4514	20.292	0.24303	0.41667	0.1784
3.0035	0.001	0.022016	0.25	1.0637	1.0074	0.33242	2.4871	14.941	0.22891	0.19705	0.2007
2.1333	0.01	0.04	0.5	0.8	1.1687	0.3	3.5	15	0.2	0.18053	0.2
2.6453	0.001	0.086461	0.43783	0.91552	0.87534	0.22114	2.2877	13.997	0.24991	0.24831	0.25169
7.3761	0.010882	0.026779	1.0069	0.99036	0.9921	0.38884	5.1412	14.932	0.22568	0.19186	0.19682
9.4444	0.005	0.02	0.5	0.88889	0.63718	1	8.5603	15	0.14687	0.2	0.2
3	0.001	0.02793	0.75	0.88889	-0.010245	0.14568	3.5393	8.0331	0.2	0.2	0.2
7.9988	0.001	0.011423	0.50015	0.79973	0.70532	0.30019	4.666	15.002	0.20012	0.16657	0.20012
5.1395	0.001	0.024695	0.25	0.94688	0.72566	0.15499	3.8931	15	0.4	0.1	0.18889
5.9664	0.001	0.015005	0.73839	0.5307	0.36433	0.47739	4.355	133.76	0.09268	0.26618	0.073296
10	0.001	0.01	0.5	0.8	0.8	0.3	5	7.156	0.1	0.2	0.2
3.3788	0.005	0.018333	0.36111	0.8	1	0.3	3.8699	22.222	0.12922	0.066667	0.22245
7	0.01	0.02	1	0.8	1	0.3	2.5	15	0.2	0.2	0.2
10	0.0064507	0.01	0.50566	1.0113	0.95116	0.40118	3.7633	26.785	0.19547	0.20453	0.19547
3.3492	0.0036033	0.01	0.5	0.8	1	0.3	5	15	0.2	0.2	0
7	0.0099999	0.01	2	0.64759	0.60667	0.3	2.5	15	0.2	0.2	0.089572
5.9804	0.013023	0.01	2	0.4	0.60646	0.4	3.5	15	0.2462	0	0.1
3.6206	0.012411	0.02	1	0.53333	1.1111	0.3	3.5	10	0.4809	0	0.23435
3.8508	0.020049	0.011606	1.0544	0.36102	0.94281	0.3991	4.9978	13.343	0.26773	0.17962	0.20051
8.4059	0.0096937	0.033051	1.711	1.0462	0.81532	0.38894	3.8506	14.864	0.38639	0.098511	0.19319
9.9999	0.011667	0.02	1.1667	0.36816	0.53885	1	8.231	15	0.2	0.4	0.2
3.4368	0.0059691	0.02448	0.80405	0.57323	0.94357	0.44556	6.9922	14.198	0.28957	0.11042	0.15988
2.8887	0.0058333	0.02	1	0.46863	0.62333	0.6	5	15	0.2	0.2	0.2
10	0.001	0.030058	0.77269	0.32506	0.61888	2.1973	12.421	14.536	0.61408	0.17681	0.20309
5	0.0053367	0.018174	1	0.32589	0.8	0.65745	5	15	0.7	0.2	0.2
7	0.019404	0.02	1	0.48024	1	0.6	2.5	30	0.2	0.2	0.3
6.3218	0.0090392	0.01	1.0184	0.31367	0.77974	0.7057	2.4317	14.688	0.21561	0.21695	0.18439
4.0667	0.003	0.02	0.99999	0.41022	1	0.66666	2.5	30	0.2	0.2	0.2
5.1907	0.029612	0.018889	1	0.75428	0.88097	0.30267	2.2907	11.144	0.2	0	0.22222
5	0.005	0.01	1	-0.49815	1	0.3	2.5	15	0.2	0.25258	0.2
7.1542	0.024102	0.03	1.1983	0.62605	0.8	0.33333	2.5	8.1855	0.2	0.2037	0.2
5.549	0.001	0.015577	1.1172	0.56452	0.89756	0.36831	2.2338	15.799	0.32905	0.16062	0.22281
3.975	0.039	0.01	0.61806	0.94781	0.94106	0.925	3.375	19	0.4	0.4	0
7.5252	0.0099999	0.034328	1	0.63062	0.53203	0.4	1.2758	15	0.2	0.21111	0.2
7.0766	0.0099999	0.01	1.4017	0.8	1	1.3629	2.5	6.3553	0.2257	0.4	0.2
3.0068	0.0022548	0.023673	1	0.98265	1	0.3	5	15	0.2	0.2	0.28201
3.7644	0.005	0.02	1	0.8	1	0.3	2.5	15	0.2	0.2	0.2
5.0305	0.001	0.059112	0.56499	1.2474	1.3318	0.62685	5.87	11.023	0.39886	0.40114	0.019437
7.1235	0.0025528	0.01	0.87499	1.1097	1.0536	2.4402	3.2072	13.332	0.21875	0.21983	0.19995
5	0.0047735	0.01	1	0.8	0.80026	1.6717	3.6563	12.003	0.2	0.1	0.2
8.0133	0.001	0.020301	0.99973	0.99666	-0.33607	0.41491	3.4628	15.528	0.13244	0.16556	0.20133
6.8083	0.001	0.01	0.90718	0.58867	0.39119	0.33333	1.3714	15	0.2	0.20208	0.2
6.7875	0.0068888	0.01	1	1.0667	-0.52495	0.3	2.5	15	0.16667	0.3	0.2
6.5186	0.006259	0.022946	0.25	1.2438	0.32871	0.33832	3.0218	16.13	0.14678	0.13957	0.54816
6.7564	0.01048	0.01	0.5127	0.92488	0.74517	0.28829	2.8734	18.267	0.2	0.2	0.19259
2.9239	0.011111	0.020305	1.0314	0.55474	0.72744	0.22815	2.5	-5.4882	0.22417	0.20001	0.20001
3.8786	0.015944	0.037753	2.0544	0.74448	0.8962	0.35223	2.3921	16.019	0.23924	0.093614	0.3087
