10	0.001	0.19499	0.033951	1.3396
5.1329	0.0058333	0.2506	0.026667	1.362
3.2781	0.01	0.2	0.02	1.362
10	0.0099148	0.44347	0.01	1.8773
3.4529	0.011667	0.29655	0.01052	1.362
3.8938	0.0055	0.45208	0.02	3.005
2.9953	0.0099136	0.59923	0.01	1.9438
3.7654	0.0061634	0.67418	0.01	3.5027
4.6955	0.01	0.7	0.01	3.3817
3	0.011667	0.42186	0.01	2.0122
10	0.55571	0.54953	0.020002	2.7272
4.2609	0.0091649	0.36712	0.014989	1.2641
1.7651	0.004906	0.38139	0.016229	1.362
10	0.021278	0.45648	0.035576	7.5388
8.0106	0.49683	0.30001	0.020001	1.362
1.8042	0.01	0.30386	0.016667	1.362
8.3646	0.10953	0.46253	0.031479	8.3841
0.1	0.0025519	0.5907	0.037882	1.7383
4.5	0.005	0.64779	0.02228	3.3817
0.1	0.020613	0.48598	0.020238	2.3079
4.9697	0.012928	0.3	0.012222	1.3261
6.0961	0.001	0.40628	0.032358	1.362
5.0007	0.019987	0.45799	0.02	1.3623
5	0.02	0.3	0.03	1.362
4.6896	0.024402	0.46943	0.025941	1.3621
6.872	0.47173	0.20562	0.01	1.3611
4.9956	0.0099909	0.42884	0.017898	1.8279
10	0.0088257	0.26798	0.019437	1.3467
7.9205	0.014437	0.38261	0.01	1.4721
3	0.01	0.2751	0.02	1.362
2.5957	0.0046155	0.24218	0.016667	1.2314
10	0.01	0.3	0.02	1.362
4.2875	0.0034984	0.17775	0.0385	1.0668
7.4966	0.006565	0.36803	0.02082	1.5693
7	0.01	0.2	0.02	1.4089
7.7764	0.019588	0.59991	0.016661	1.0592
6.5451	0.01	0.60081	0.015711	1.362
4.9116	1	0.74825	0.053357	1.0132
6.245	0.065056	0.635	0.01	0.68267
10	0.013015	0.56927	0.030319	1.5987
0.1	0.12	0.55466	0.02953	0.50659
5.8473	0.085008	0.37717	0.015917	0.50707
0.89083	0.032678	0.62355	0.01	0.47844
10	0.0087976	0.90548	0.01	1.7183
1.3045	0.001	0.9	0.01	0.41745
6.996	0.019986	0.78696	0.01499	2.7229
5	0.021704	0.39531	0.49657	0.50659
10	0.011615	0.62602	0.08796	0.62449
6.1143	0.24	0.33	0.03	0.50659
3.8363	0.47855	0.25521	0.020033	0.52953
3.111	0.0096867	0.25331	0.016946	1.2835
3.5	0.02	0.43627	0.027081	1.362
3	0.01	0.3	0.02	1.362
3	0.005	0.29558	0.023333	1.362
3	0.01	0.2	0.02	1.362
10	0.02	0.16948	0.035165	2.0182
3	0.001	0.2	0.018333	1.362
5.85	0.01	0.2	0.019255	1.362
10	0.020948	0.27356	0.022276	1.4097
7.9489	0.02	0.2	0.013333	1.362
5	0.001	0.4	0.016667	1.2523
3	0.01	0.3	0.018664	1.362
4.983	0.0049539	0.29791	0.020115	1.3688
10	0.001	0.18879	0.019998	1.3619
3	0.01	0.3	0.06	2.1002
10	0.001	0.82195	0.021407	2.4866
3.8608	0.010648	0.36198	0.012474	1.4048
10	0.0020386	0.41328	0.012302	1.8909
2.7125	0.001	0.40006	0.01	1.362
4.8744	0.013046	0.3606	0.023385	2.0971
3.9691	0.001	0.57135	0.014671	1.6134
3.1078	0.001	0.36837	0.032965	1.4474
4.723	0.001	0.4992	0.02	1.4948
2.9871	0.001	0.4	0.025423	1.362
4.973	0.0093863	0.70489	0.022494	10
10	0.0091609	0.52272	0.010779	3.7338
7.313	0.001	0.4943	0.030646	2.5903
3.0054	0.010559	0.43762	0.01	1.3591
8.2407	0.0066411	0.26911	0.016296	1.9723
7.0012	0.020011	0.23819	0.020006	1.3617
2.9999	0.001	0.20002	0.01	1.3623
6.316	0.010865	0.27493	0.021418	2.808
2.2981	0.01	0.2	0.01	1.2626
3.5	0.005	0.2	0.035	1.362
5.3667	0.001	0.2027	0.039323	1.4704
6.0426	0.007857	0.3	0.02	1.362
7.3106	0.0017475	0.31766	0.01	1.3096
6.2038	0.0077654	0.39259	0.022076	1.665
7.9076	0.001	0.48432	0.01	1.6551
5.0625	0.001	0.34226	0.038729	1.3618
3	0.0024611	0.40068	0.01	1.2864
5	0.01	0.22227	0.02	1.362
3.4302	0.0049805	0.36059	0.016095	1.208
5.1639	0.001	0.29715	0.033052	1.4277
5.1798	0.005	0.6	0.01	1.362
6	0.079928	0.3	0.02	1.362
10	0.02	0.58528	0.01	1.362
7	0.063328	0.27574	0.023431	1.362
0.1	0.001	0.28126	0.02	0.45901
7	0.01	0.47699	0.01	1.3976
8.2165	0.0099999	0.1	0.02	1.362
3	0.01	0.2	0.02	1.362
6.5073	0.01	0.3	0.02	0.50659
7.973	0.0058602	0.19873	0.020137	1.354
10	0.016333	0.21355	0.03	1.362
3.7375	0.02	0.3	0.02	1.362
2.6241	0.024314	0.48823	0.051761	1.5851
10	0.64946	0.30359	0.017788	1.4255
9.1546	0.14298	0.57696	0.02522	4.3396
3.8446	0.0093305	0.47755	0.020506	1.4175
2.8099	0.001	0.33835	0.01	1.2693
3.0787	0.001	0.30696	0.029415	1.4507
1.6754	0.001	0.37442	0.045	1.336
2.55	0.001	0.2	0.02	1.362
8.9987	0.001	0.47961	0.016667	1.375
5	0.01	0.3	0.02	1.362
5	0.01	0.2	0.02	1.362
3.9482	0.0012475	0.3945	0.01055	1.7987
9.9999	0.01253	0.3	0.02	1.362
5	0.012602	0.43419	0.011111	1.362
6.5056	0.36377	0.34944	0.016809	1.9901
2.9535	0.019397	0.40562	0.01947	1.9304
10	0.0099995	0.40004	0.019999	1.3621
3.5514	0.0032958	0.46195	0.020007	1.3616
2.4729	0.0099188	0.44908	0.020302	1.3292
4.6364	0.001	0.59828	0.011583	2.112
2.0467	0.014698	0.27443	0.018333	1.362
3	0.01	0.4	0.036457	2.0076
4.2587	0.012348	0.30262	0.025131	1.665
3.5788	0.001	0.35066	0.01	1.9895
3.2496	0.001	0.40749	0.011302	2.1037
2.6479	0.0044424	0.27542	0.028195	1.4205
3.3833	0.001	0.55	0.02	1.362
3.001	0.015565	0.25921	0.0227	1.3614
4.4578	0.0047207	0.2934	0.01	1.4214
10	0.020642	0.38674	0.015885	1.5236
2.3527	0.0055	0.6	0.01	1.583
4.6923	0.005	0.49541	0.023333	1.362
3.5981	0.014621	0.45057	0.018846	0.87961
3.5004	0.0061557	0.40589	0.022624	1.6519
3	0.019865	0.4	0.02	1.362
6.2623	0.018914	0.50777	0.019341	1.2654
2.9127	0.011054	0.34243	0.018316	1.3621
2.7724	0.011423	0.39429	0.020354	1.362
2.8389	0.022896	0.4504	0.03231	1.362
2.9966	0.0099196	0.20157	0.040274	1.3144
4.0186	0.001	0.68455	0.022167	1.9889
2.9041	0.0053276	0.5	0.068333	1.5215
5.025	0.0046039	0.33333	0.03	1.9526
6.0111	0.0048198	0.66168	0.018714	5.5907
3.2918	0.001	0.57249	0.074249	2.7241
3	0.02	0.3	0.02	1.362
3.4449	0.017765	0.45207	0.055207	1.6614
3.1764	0.56877	0.31591	0.13994	1.4047
2.525	0.001	0.58709	0.032814	1.9526
2.778	0.015005	0.44486	0.01	1.3618
2.9699	0.009999	0.70078	0.020006	1.3623
2.9712	0.0029033	0.8	0.021665	1.8972
2.1604	0.046669	0.78991	0.031097	1.3412
2.1953	0.0049664	0.32216	0.020192	1.2243
10	0.031338	0.76848	0.03	1.5558
6.4245	0.030167	0.76387	0.010407	1.8808
0.68233	0.010636	0.43666	0.1931	0.44877
5.082	0.013989	0.58194	0.057222	1.3833
6.667	0.2404	0.51299	0.020006	1.3627
